antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"SD Card, Diapers",Wet Wipes,0.016689,0.182792,0.012857,0.7703876805081192,4.214559064445486,1.0,0.009806384312,3.559077325678498,0.7756724521229755,0.06889253257887516,0.7190283018620954,0.42036222836732495
"Garlic Bread, Laptop",Wireless Mouse,0.016575,0.18271,0.012761,0.7698944193061841,4.213750858224421,1.0,0.00973258175,3.551804339276351,0.7755362586481304,0.06841478844545473,0.718452959544573,0.41986866989062693
Wireless Mouse,"Garlic Bread, Laptop",0.18271,0.016575,0.012761,0.06984292047506978,4.213750858224421,1.0,0.00973258175,1.0572676611807073,0.9331837477040433,0.06841478844545473,0.05416571723829451,0.41986866989062693
SD Card,"Blue Pens, DSLR Camera",0.182546,0.016614,0.012775,0.06998236061047626,4.212252354067429,1.0,0.009742180756,1.0573842455778666,0.9328932508154034,0.06854092335756633,0.05427000243086261,0.41945608941803453
"Blue Pens, DSLR Camera",SD Card,0.016614,0.182546,0.012775,0.7689298182255928,4.212252354067428,1.0,0.009742180756,3.537687094555873,0.7754811635024851,0.06854092335756633,0.7173294377733705,0.41945608941803453
"Large Fries, Pasta",Garlic Bread,0.016833,0.182775,0.012958,0.7697974217311234,4.211721634420043,1.0,0.009881348425,3.5500254000000004,0.7756234742482407,0.06942405571926065,0.7183118746136296,0.420346666001658
Garlic Bread,"Large Fries, Pasta",0.182775,0.016833,0.012958,0.0708959102721926,4.211721634420043,1.0,0.009881348425,1.0582322057538538,0.933118057213399,0.06942405571926065,0.054988532235309556,0.420346666001658
"SD Card, Pasta",Garlic Bread,0.016644,0.182775,0.012811,0.7697068012496996,4.211225830938036,1.0,0.0097688929,3.5486284633446386,0.7754459732510407,0.06865193346480322,0.7182009865700384,0.41989922198991614
Garlic Bread,"SD Card, Pasta",0.182775,0.016644,0.012811,0.07009164273013267,4.211225830938036,1.0,0.0097688929,1.0574762473229626,0.9330838514145435,0.06865193346480322,0.05435228211363196,0.41989922198991614
Notebooks (Set of 5),"Large Fries, Blue Pens",0.108758,0.028157,0.012891,0.1185292116442009,4.2095824002628435,1.0,0.009828700994,1.1025243409515266,0.8554878981535841,0.1039395600851448,0.09299054646090046,0.2881774871659936
"Large Fries, Blue Pens",Notebooks (Set of 5),0.028157,0.108758,0.012891,0.4578257626877863,4.2095824002628435,1.0,0.009828700994,1.6438294899777282,0.7845369522918789,0.1039395600851448,0.39166439944233583,0.2881774871659936
"Large Fries, Laptop",Wireless Mouse,0.016641,0.18271,0.012796,0.7689441740280032,4.208550019309305,1.0,0.00975552289,3.5371971105331608,0.7752900743053207,0.06859103213529522,0.7172902813297645,0.41948932744966466
Wireless Mouse,"Large Fries, Laptop",0.18271,0.016641,0.012796,0.07003448087132615,4.208550019309305,1.0,0.00975552289,1.0574144737337712,0.9328249118168654,0.06859103213529522,0.05429703787866501,0.41948932744966466
"SD Card, Laptop",Wireless Mouse,0.016562,0.18271,0.012734,0.7688684941432194,4.208135811631654,1.0,0.00970795698,3.536038918495298,0.7752040128884731,0.06826491117091424,0.7171976827603659,0.41928181972773143
Wireless Mouse,"SD Card, Laptop",0.18271,0.016562,0.012734,0.06969514531224344,4.208135811631653,1.0,0.00970795698,1.0571136924036335,0.932796295105794,0.06826491117091424,0.05402795632489637,0.41928181972773143
"Wet Wipes, DSLR Camera",SD Card,0.016655,0.182546,0.012794,0.768177724407085,4.208132330519896,1.0,0.009753696369999999,3.5262098860398865,0.7752771280143193,0.06863476157011271,0.7164093935647572,0.41913208418594694
SD Card,"Wet Wipes, DSLR Camera",0.182546,0.016655,0.012794,0.07008644396480887,4.208132330519896,1.0,0.009753696369999999,1.0574585063504407,0.9326089143208558,0.06863476157011271,0.054336416989773546,0.41913208418594694
SD Card,"Large Fries, DSLR Camera",0.182546,0.016591,0.01274,0.06979062811565304,4.20653535746206,1.0,0.009711379313999999,1.0571910257234727,0.9324985521247329,0.06834873951833988,0.05409715399762768,0.4188384157394611
"Large Fries, DSLR Camera",SD Card,0.016591,0.182546,0.01274,0.7678862033632692,4.20653535746206,1.0,0.009711379313999999,3.5217811773565297,0.7751349351374366,0.06834873951833988,0.7160527728328068,0.4188384157394611
Blue Pens,"Notebooks (Set of 5), Wet Wipes",0.18269,0.016889,0.012975,0.07102194975094422,4.205219358810126,1.0,0.00988954859,1.0582715057007335,0.9325718230364666,0.0695322715483055,0.05506290719048432,0.4196367372059831
"Notebooks (Set of 5), Wet Wipes",Blue Pens,0.016889,0.18269,0.012975,0.768251524661022,4.205219358810126,1.0,0.00988954859,3.5267114435360245,0.7752942207806998,0.0695322715483055,0.7164497249036742,0.4196367372059831
Garlic Bread,"Blue Pens, Pasta",0.182775,0.016838,0.012935,0.07077007249350295,4.202997534950883,1.0,0.00985743455,1.0580395345619407,0.9325149977042312,0.06929043593781807,0.05485573333133599,0.4194864734720752
"Blue Pens, Pasta",Garlic Bread,0.016838,0.182775,0.012935,0.7682028744506474,4.202997534950882,1.0,0.00985743455,3.5256045477837565,0.7751261429945832,0.06929043593781807,0.7163607017047293,0.4194864734720752
"Blue Pens, Wet Wipes",Notebooks (Set of 5),0.028399,0.108758,0.012975,0.4568822845874855,4.200907377732999,1.0,0.009886381558,1.6409739080653527,0.7842274652261917,0.10448374160506353,0.3906057889860279,0.28809192660386246
Notebooks (Set of 5),"Blue Pens, Wet Wipes",0.108758,0.028399,0.012975,0.11930156862023944,4.200907377732999,1.0,0.009886381558,1.1032164534207531,0.8549374798777808,0.10448374160506353,0.09355956675655895,0.28809192660386246
"Pasta, Wet Wipes",Garlic Bread,0.016618,0.182775,0.012759,0.7677819232157901,4.200694423284312,1.0,0.00972164505,3.519213539777144,0.7748200819176871,0.06836374937042554,0.7158456033721314,0.4187945315709644
Garlic Bread,"Pasta, Wet Wipes",0.182775,0.016618,0.012759,0.0698071399261387,4.200694423284312,1.0,0.00972164505,1.0571807656338228,0.9323553755653328,0.06836374937042554,0.054087973876010234,0.4187945315709644
"Burger, SD Card",Large Fries,0.016736,0.182826,0.012847,0.767626673040153,4.198673454761101,1.0,0.009787224064,3.5166428552327083,0.7747965319265329,0.06880539860214767,0.7156378850038705,0.4189478359895174
Large Fries,"Burger, SD Card",0.182826,0.016736,0.012847,0.07026899893888179,4.198673454761101,1.0,0.009787224064,1.0575790189611658,0.9322733434595452,0.06880539860214767,0.054444176679794835,0.4189478359895174
"Wireless Mouse, Diapers",Wet Wipes,0.016762,0.182792,0.01286,0.7672115499343755,4.197183410293532,1.0,0.009796040496,3.5105178103536656,0.7747310255877605,0.06888277073714207,0.7151417386202478,0.4187823691288578
Wet Wipes,"Wireless Mouse, Diapers",0.182792,0.016762,0.01286,0.07035318832334019,4.197183410293532,1.0,0.009796040496,1.057646826354071,0.9321310904162203,0.06888277073714207,0.0545047977431102,0.4187823691288578
Wet Wipes,"Blue Pens, Diapers",0.182792,0.016759,0.012849,0.07029301063503872,4.1943439724947025,1.0,0.009785588872,1.0575815942521904,0.9319337219533372,0.06882090175788154,0.054446479179609805,0.4184927670276452
"Blue Pens, Diapers",Wet Wipes,0.016759,0.182792,0.012849,0.7666925234202517,4.1943439724947025,1.0,0.009785588872,3.5027081514066483,0.7745646215424731,0.06882090175788154,0.7145066169448313,0.4184927670276452
"Garlic Bread, Burger",Large Fries,0.016844,0.182826,0.012916,0.7668012348610781,4.194158570778106,1.0,0.009836478856000001,3.504195228105906,0.7746208678150991,0.06916049990897118,0.7146277718834397,0.41872382091363225
Large Fries,"Garlic Bread, Burger",0.182826,0.016844,0.012916,0.07064640696618643,4.194158570778106,1.0,0.009836478856000001,1.057892289188394,0.9319595996906676,0.06916049990897118,0.054724181072166,0.41872382091363225
Wireless Mouse,"Blue Pens, Laptop",0.18271,0.016735,0.012818,0.0701548902632587,4.192105782088958,1.0,0.009760348149999999,1.057450310491371,0.9316844708177346,0.06868245216394198,0.054329087543295754,0.4180472688543661
"Blue Pens, Laptop",Wireless Mouse,0.016735,0.18271,0.012818,0.7659396474454735,4.192105782088958,1.0,0.009760348149999999,3.4917917155986715,0.7744162572191894,0.06868245216394198,0.7136140751085581,0.4180472688543661
DSLR Camera,"SD Card, Wireless Mouse",0.108524,0.028137,0.0128,0.11794626073495265,4.191856300776652,1.0,0.009746460212000001,1.1018183549788976,0.8541365152426986,0.1033416491066599,0.09240938356018559,0.286431636960219
"SD Card, Wireless Mouse",DSLR Camera,0.028137,0.108524,0.0128,0.45491701318548533,4.191856300776652,1.0,0.009746460212000001,1.6354867452565693,0.7834871829285609,0.1033416491066599,0.3885612323668672,0.286431636960219
"SD Card, Wireless Mouse",Laptop,0.028137,0.108038,0.012734,0.4525713473362477,4.1890015303527255,1.0,0.009694134794000001,1.629366668441213,0.7833199009197784,0.10315859398417059,0.3862646024564362,0.2852186416978912
Laptop,"SD Card, Wireless Mouse",0.108038,0.028137,0.012734,0.11786593605953462,4.189001530352725,1.0,0.009694134794000001,1.101718026462688,0.8534888581213085,0.10315859398417059,0.0923267333559716,0.2852186416978912
SD Card,"Wireless Mouse, DSLR Camera",0.182546,0.016741,0.0128,0.07011931239249285,4.188478131084932,1.0,0.009743997414,1.0574033992789225,0.9312448137372255,0.06863749215763029,0.05428713329091608,0.4173546206547615
"Wireless Mouse, DSLR Camera",SD Card,0.016741,0.182546,0.0128,0.7645899289170301,4.188478131084932,1.0,0.009743997414,3.4724682603400168,0.7742108620096536,0.06863749215763029,0.7120204059396983,0.4173546206547615
"Garlic Bread, Large Fries",Pasta,0.028482,0.108627,0.012958,0.4549540060389018,4.188222136659411,1.0,0.009864085786000001,1.635408772610152,0.7835523427974601,0.10437290074183857,0.3885320803287757,0.28712147446761754
Pasta,"Garlic Bread, Large Fries",0.108627,0.028482,0.012958,0.11928894289633334,4.188222136659411,1.0,0.009864085786000001,1.1031063958649092,0.8540029874922203,0.10437290074183857,0.09346913067625442,0.28712147446761754
"Burger, Wet Wipes",Large Fries,0.016968,0.182826,0.012992,0.7656765676567656,4.188006999315008,1.0,0.009889808432,3.4873763661971826,0.774362319492318,0.06954957655699617,0.7132514833520959,0.41836933521057135
Large Fries,"Burger, Wet Wipes",0.182826,0.016968,0.012992,0.07106210276437706,4.188006999315008,1.0,0.009889808432,1.0582322057538538,0.9315310321365736,0.06954957655699617,0.055027814724624494,0.41836933521057135
"SD Card, Blue Pens",Notebooks (Set of 5),0.028308,0.108758,0.01289,0.4553483114313975,4.186802915016804,1.0,0.009811278536000001,1.6363522205214682,0.7833287396277916,0.10380427779925268,0.3888846255353737,0.2869341641748466
Notebooks (Set of 5),"SD Card, Blue Pens",0.108758,0.028308,0.01289,0.11852001691829568,4.186802915016804,1.0,0.009811278536000001,1.1023415376976677,0.8540377020679099,0.10380427779925268,0.09284013547327309,0.2869341641748466
Notebooks (Set of 5),"Wireless Mouse, Blue Pens",0.108758,0.028387,0.012919,0.11878666396954707,4.184544473510659,1.0,0.009831686654,1.1025854469892213,0.8538930640384264,0.10399594287830245,0.09304081354360952,0.28694467590980965
"Wireless Mouse, Blue Pens",Notebooks (Set of 5),0.028387,0.108758,0.012919,0.45510268785007224,4.184544473510659,1.0,0.009831686654,1.6356146013705715,0.7832597568988221,0.10399594287830245,0.38860902858042173,0.28694467590980965
Laptop,"Large Fries, Wireless Mouse",0.108038,0.028305,0.012796,0.11843980821562784,4.184412938195649,1.0,0.00973798441,1.1022446442745848,0.8531953716743641,0.10357191999805743,0.09276039108529718,0.2852577066162047
"Large Fries, Wireless Mouse",Laptop,0.028305,0.108038,0.012796,0.4520756050167815,4.184412938195649,1.0,0.00973798441,1.6278924759816884,0.7831859277956655,0.10357191999805743,0.3857088138472059,0.2852577066162047
Blue Pens,"SD Card, Notebooks (Set of 5)",0.18269,0.016869,0.01289,0.07055668071596695,4.182623790145649,1.0,0.009808202390000001,1.0577632649587752,0.9310000168104303,0.06905270826971807,0.05460887787687191,0.4173401104688378
"SD Card, Notebooks (Set of 5)",Blue Pens,0.016869,0.18269,0.01289,0.7641235402217086,4.182623790145649,1.0,0.009808202390000001,3.4649918044734878,0.7739717532448197,0.06905270826971807,0.7113990287916563,0.4173401104688378
Diapers,"SD Card, Wet Wipes",0.108594,0.028309,0.012857,0.11839512311914104,4.182243213082095,1.0,0.009782812454000001,1.1021842386329215,0.8535884517999588,0.10364703416474534,0.09271066946090993,0.28628082130028903
"SD Card, Wet Wipes",Diapers,0.028309,0.108594,0.012857,0.454166519481437,4.182243213082095,1.0,0.009782812454000001,1.6331097886357755,0.783061557084705,0.10364703416474534,0.3876712962235356,0.28628082130028903
"Burger, Blue Pens",Large Fries,0.016768,0.182826,0.01282,0.7645515267175572,4.181853383641043,1.0,0.009754373632,3.4707126727456936,0.7738474522382575,0.06863910394380374,0.7118747374703027,0.4173364221272251
Large Fries,"Burger, Blue Pens",0.182826,0.016768,0.01282,0.070121317536893,4.181853383641043,1.0,0.009754373632,1.0573766433655283,0.931101060678786,0.06863910394380374,0.05426320292351449,0.4173364221272251
Large Fries,"Burger, Wireless Mouse",0.182826,0.016842,0.012874,0.07041668034087056,4.181016526592481,1.0,0.009794844508,1.0576330052485408,0.9310424892185345,0.06892084328190413,0.05449244204987456,0.4174076039158337
"Burger, Wireless Mouse",Large Fries,0.016842,0.182826,0.012874,0.7643985274907968,4.18101652659248,1.0,0.009794844508,3.468458797379033,0.7738570149301198,0.06892084328190413,0.7116875077900138,0.4174076039158337
"Wireless Mouse, Blue Pens",Laptop,0.028387,0.108038,0.012818,0.45154472117518585,4.179499076021269,1.0,0.009751125294,1.62631673800501,0.782962843601272,0.10369962866180718,0.38511362723432824,0.28509408072310083
Laptop,"Wireless Mouse, Blue Pens",0.108038,0.028387,0.012818,0.11864344027101575,4.179499076021269,1.0,0.009751125294,1.1024062727788277,0.8528803663832794,0.10369962866180718,0.09289340536923216,0.28509408072310083
"Large Fries, Wet Wipes",Diapers,0.028544,0.108594,0.012955,0.4538607062780269,4.179427097979878,1.0,0.009855292864,1.6321953213163127,0.7830851389805061,0.10432184759588672,0.387328227853556,0.28657913668138224
Diapers,"Large Fries, Wet Wipes",0.108594,0.028544,0.012955,0.11929756708473764,4.179427097979878,1.0,0.009855292864,1.1030467995692133,0.8534077140757933,0.10432184759588672,0.09342015190058803,0.28657913668138224
"Large Fries, Blue Pens",Burger,0.028157,0.109005,0.01282,0.4553041872358561,4.176911033767773,1.0,0.009750746215,1.63576620036513,0.7826250004528844,0.10310273278538225,0.38866569086903524,0.2864567356068276
Burger,"Large Fries, Blue Pens",0.109005,0.028157,0.01282,0.11760928397779917,4.176911033767772,1.0,0.009750746215,1.101374915163487,0.853639614492935,0.10310273278538225,0.09204396592638849,0.2864567356068276
Burger,"Large Fries, Wet Wipes",0.109005,0.028544,0.012992,0.11918719324801615,4.175560301570072,1.0,0.00988056128,1.1029085777967567,0.8535526936357778,0.1043056592564047,0.0933065349825583,0.28717207196033095
"Large Fries, Wet Wipes",Burger,0.028544,0.109005,0.012992,0.4551569506726457,4.175560301570072,1.0,0.00988056128,1.6353241563786007,0.7828570540158379,0.1043056592564047,0.3885004412736836,0.28717207196033095
"Garlic Bread, Wireless Mouse",Laptop,0.028297,0.108038,0.012761,0.4509665335547938,4.174147369951257,1.0,0.009703848713999999,1.6246040624356337,0.7825746306143201,0.10326605920339231,0.3844654072200316,0.28454119084115226
Laptop,"Garlic Bread, Wireless Mouse",0.108038,0.028297,0.012761,0.11811584812751069,4.174147369951256,1.0,0.009703848713999999,1.1018488062596428,0.852536449189345,0.10326605920339231,0.09243446621808381,0.28454119084115226
"Garlic Bread, Blue Pens",Pasta,0.028536,0.108627,0.012935,0.45328707597420803,4.172876687878778,1.0,0.009835219928,1.6304224042048587,0.7826920656879002,0.10412306404353286,0.38666201015086615,0.28618214256975844
Pasta,"Garlic Bread, Blue Pens",0.108627,0.028536,0.012935,0.11907720916530881,4.172876687878778,1.0,0.009835219928,1.1027799599548551,0.8530179452388958,0.10412306404353286,0.0932007868179457,0.28618214256975844
"Large Fries, Wireless Mouse",Burger,0.028305,0.109005,0.012874,0.45483130189012544,4.172572835100458,1.0,0.009788613475,1.634347318709092,0.7824880376704375,0.10345880613327331,0.3881349523736109,0.28646798799382195
Burger,"Large Fries, Wireless Mouse",0.109005,0.028305,0.012874,0.11810467409751846,4.172572835100458,1.0,0.009788613475,1.101825773943889,0.8533602475481634,0.10345880613327331,0.09241549467427378,0.28646798799382195
"Garlic Bread, Wet Wipes",Diapers,0.028396,0.108594,0.012866,0.4530919847865897,4.172348240110777,1.0,0.009782364776,1.62990114462331,0.7825480473479853,0.10365441010602301,0.38646585819098106,0.28578499270638763
Diapers,"Garlic Bread, Wet Wipes",0.108594,0.028396,0.012866,0.11847800062618562,4.172348240110777,1.0,0.009782364776,1.1021891690623433,0.8529523168965566,0.10365441010602301,0.09271472804371494,0.28578499270638763
"Garlic Bread, SD Card",DSLR Camera,0.028511,0.108524,0.012909,0.4527726140787766,4.172096624514178,1.0,0.009814872236,1.6290778256633767,0.782625802772411,0.10399916214169475,0.3861557844280458,0.2858616304701502
DSLR Camera,"Garlic Bread, SD Card",0.108524,0.028511,0.012909,0.11895064686152372,4.172096624514177,1.0,0.009814872236,1.102649921414004,0.8528691277270132,0.10399916214169475,0.0930938454902976,0.2858616304701502
"Garlic Bread, Blue Pens",Notebooks (Set of 5),0.028536,0.108758,0.012944,0.4536024670591534,4.170750354540847,1.0,0.009840481712,1.6311237629553619,0.7825663021082083,0.10409328508242863,0.386925736286164,0.2863094995881655
Notebooks (Set of 5),"Garlic Bread, Blue Pens",0.108758,0.028536,0.012944,0.1190165321171776,4.170750354540846,1.0,0.009840481712,1.1027040068465985,0.8530062430981131,0.10409328508242863,0.09313832742868249,0.2863094995881655
"Large Fries, SD Card",Burger,0.028259,0.109005,0.012847,0.45461622845819033,4.17059977485611,1.0,0.009766627705000001,1.633702809823514,0.7823343189031092,0.10325759341569078,0.38789356669587405,0.2862366037479246
Burger,"Large Fries, SD Card",0.109005,0.028259,0.012847,0.11785697903765882,4.17059977485611,1.0,0.009766627705000001,1.101568540371056,0.8532329961281782,0.10325759341569078,0.09220355942340482,0.2862366037479246
"Blue Pens, Wet Wipes",Diapers,0.028399,0.108594,0.012849,0.45244550864467054,4.166395092221214,1.0,0.009765038993999999,1.6279767841800643,0.7821979972152338,0.10350077329552776,0.3857406262069927,0.2853834814343304
Diapers,"Blue Pens, Wet Wipes",0.108594,0.028399,0.012849,0.11832145422399028,4.166395092221214,1.0,0.009765038993999999,1.1019900673037757,0.852568140995594,0.10350077329552776,0.09255080452159918,0.2853834814343304
"Garlic Bread, Notebooks (Set of 5)",Blue Pens,0.017006,0.18269,0.012944,0.7611431259555451,4.166309737563879,1.0,0.009837173860000001,3.421756243229936,0.7731272409825221,0.06931117203564087,0.7077524145740847,0.41599769467627823
Blue Pens,"Garlic Bread, Notebooks (Set of 5)",0.18269,0.017006,0.012944,0.07085226339701134,4.166309737563879,1.0,0.009837173860000001,1.0579523161665076,0.9298545706309397,0.06931117203564087,0.054777814917498314,0.41599769467627823
DSLR Camera,"SD Card, Wet Wipes",0.108524,0.028309,0.012794,0.11789097342523314,4.164434399845743,1.0,0.009721794084,1.1015543098715137,0.8523744357772823,0.10314497859544176,0.0921918319972431,0.28491602611704625
"SD Card, Wet Wipes",DSLR Camera,0.028309,0.108524,0.012794,0.45194107880885936,4.164434399845743,1.0,0.009721794084,1.6266061285207865,0.7820092524362052,0.10314497859544176,0.3852230220542778,0.28491602611704625
Laptop,"Wireless Mouse, Wet Wipes",0.108038,0.028492,0.012811,0.11857864825339233,4.161822555573225,1.0,0.009732781304,1.1022061107038972,0.851741054481685,0.10354917191377234,0.0927286736222371,0.2841068167562062
"Wireless Mouse, Wet Wipes",Laptop,0.028492,0.108038,0.012811,0.44963498525902007,4.161822555573225,1.0,0.009732781304,1.6206735095976021,0.7820014394504139,0.10354917191377234,0.3829725764763746,0.2841068167562062
"Garlic Bread, Large Fries",Burger,0.028482,0.109005,0.012916,0.45347939049224073,4.160170547151422,1.0,0.00981131959,1.630304483489657,0.781895177689095,0.10368384294900097,0.386617647116135,0.28598468400810373
Burger,"Garlic Bread, Large Fries",0.109005,0.028482,0.012916,0.11848997752396678,4.160170547151421,1.0,0.00981131959,1.1021065844165303,0.8525583636700028,0.10368384294900097,0.09264674203047887,0.28598468400810373
DSLR Camera,"SD Card, Blue Pens",0.108524,0.028308,0.012775,0.11771589694445468,4.158396811659414,1.0,0.009702902608,1.1013368558209486,0.8519833501306775,0.10297685741231852,0.09201258932301046,0.28450087626649045
"SD Card, Blue Pens",DSLR Camera,0.028308,0.108524,0.012775,0.4512858555885262,4.158396811659413,1.0,0.009702902608,1.6246637872915728,0.7816496472556077,0.10297685741231852,0.3844880351109016,0.28450087626649045
"Wireless Mouse, Wet Wipes",Diapers,0.028492,0.108594,0.01286,0.4513547662501755,4.156350868834148,1.0,0.009765939752,1.6247402604913002,0.7816758434343988,0.10352100204466054,0.38451700599970773,0.28488875760249904
Diapers,"Wireless Mouse, Wet Wipes",0.108594,0.028492,0.01286,0.11842274895482255,4.156350868834148,1.0,0.009765939752,1.1020111951030982,0.8519174599489636,0.10352100204466054,0.09256820217108098,0.28488875760249904
