antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Large Fries, Wet Wipes",Burger,0.02415,0.10215,0.01225,0.5072463768115942,4.965701192477672,1.0,0.009783077500000001,1.8221073529411767,0.8183825090214393,0.10740903112669882,0.45118491597883187,0.313584030304965
Burger,"Large Fries, Wet Wipes",0.10215,0.02415,0.01225,0.11992168379833577,4.965701192477671,1.0,0.009783077500000001,1.1088217741935484,0.8894788343582686,0.10740903112669882,0.0981418084729577,0.313584030304965
Wet Wipes,Diapers,0.1843,0.0991,0.09005,0.48860553445469346,4.930429207413658,1.0,0.07178587,1.7616537931034484,0.9772930013068761,0.46573571243858297,0.43235157559628534,0.6986418186905152
Diapers,Wet Wipes,0.0991,0.1843,0.09005,0.9086781029263371,4.930429207413658,1.0,0.07178587,8.93214033149172,0.8848683551626361,0.46573571243858297,0.8880447504307185,0.6986418186905152
Wet Wipes,"Diapers, Wireless Mouse",0.1843,0.01305,0.01185,0.06429734129137277,4.926999332672242,1.0,0.009444885,1.0547688315453754,0.9771199078837312,0.06388140161725067,0.05192496204607403,0.48617165915143346
"Diapers, Wireless Mouse",Wet Wipes,0.01305,0.1843,0.01185,0.9080459770114941,4.926999332672242,1.0,0.009444885,8.87073749999999,0.8075755700499109,0.06388140161725067,0.8872698014116638,0.48617165915143346
"Wet Wipes, Burger",Large Fries,0.0139,0.1793,0.01225,0.881294964028777,4.91519779157154,1.0,0.009757730000000001,6.9137757575757615,0.8077774949346944,0.0676982591876209,0.8553612331287646,0.47480810666581075
Large Fries,"Wet Wipes, Burger",0.1793,0.0139,0.01225,0.0683212493028444,4.91519779157154,1.0,0.009757730000000001,1.058412032325651,0.9705731543257001,0.0676982591876209,0.05518836761266039,0.47480810666581075
"Diapers, Blue Pens",Wet Wipes,0.01115,0.1843,0.01,0.8968609865470852,4.866310290543057,1.0,0.007945055,7.908743478260872,0.8034641249936795,0.053922890266918315,0.8735576640273204,0.47556017314332016
Wet Wipes,"Diapers, Blue Pens",0.1843,0.01115,0.01,0.05425935973955508,4.866310290543056,1.0,0.007945055,1.045582644865175,0.9740167953904622,0.053922890266918315,0.043595448995858904,0.47556017314332016
Pasta,"Garlic Bread, Baby Wash",0.0973,0.02125,0.01005,0.10328879753340185,4.860649295689498,1.0,0.007982375,1.0914885386819484,0.8798783307347168,0.09262672811059908,0.08381997193706446,0.288114987001995
"Garlic Bread, Baby Wash",Pasta,0.02125,0.0973,0.01005,0.4729411764705882,4.860649295689498,1.0,0.007982375,1.7127120535714286,0.8115107730822262,0.09262672811059908,0.41613069288865423,0.288114987001995
Burger,"SD Card, Large Fries",0.10215,0.02115,0.0105,0.10279001468428782,4.860047975616446,1.0,0.0083395275,1.0909932078559739,0.8846029005799568,0.09308510638297872,0.08340400948489331,0.29962195769675387
"SD Card, Large Fries",Burger,0.02115,0.10215,0.0105,0.4964539007092199,4.860047975616445,1.0,0.0083395275,1.7830542253521129,0.8114018637030335,0.09308510638297872,0.4391645605716098,0.29962195769675387
"Large Fries, Baby Lotion",Baby Wash,0.0131,0.16815,0.0107,0.8167938931297709,4.857531329942141,1.0,0.008497234999999999,4.540514583333331,0.8046753593571108,0.06273819994136616,0.7797606457050801,0.4402137767760065
Baby Wash,"Large Fries, Baby Lotion",0.16815,0.0131,0.0107,0.06363366042224204,4.85753132994214,1.0,0.008497234999999999,1.0539678310574785,0.9546602297884627,0.06273819994136616,0.051204438567475974,0.4402137767760065
"Large Fries, Diapers",Wet Wipes,0.0124,0.1843,0.0111,0.8951612903225807,4.857087847653721,1.0,0.00881468,7.7805230769230835,0.8040859814857384,0.059806034482758626,0.8714739368917258,0.47769458981674345
Wet Wipes,"Large Fries, Diapers",0.1843,0.0124,0.0111,0.060227889310906134,4.8570878476537205,1.0,0.00881468,1.0508930715935336,0.9735384520231891,0.059806034482758626,0.04842840148937437,0.47769458981674345
Large Fries,"Burger, Baby Wash",0.1793,0.01165,0.0101,0.05633017289459007,4.835207973784556,1.0,0.008011154999999999,1.0473472517730495,0.9664721132768814,0.05584738733757258,0.0452068324931351,0.4616414812970804
"Burger, Baby Wash",Large Fries,0.01165,0.1793,0.0101,0.8669527896995707,4.835207973784555,1.0,0.008011154999999999,6.168487096774188,0.8025331748533785,0.05584738733757258,0.8378856947722318,0.4616414812970804
"Almond Croissant, Wet Wipes",Diapers,0.02175,0.0991,0.0104,0.4781609195402299,4.8250345059559026,1.0,0.008244575,1.7263942731277533,0.8103732135485268,0.09416025350837483,0.42075804144769663,0.29155271002238536
Diapers,"Almond Croissant, Wet Wipes",0.0991,0.02175,0.0104,0.10494450050454086,4.825034505955902,1.0,0.008244575,1.0929489853438557,0.879950711681481,0.09416025350837483,0.08504421211810975,0.29155271002238536
Burger,Large Fries,0.10215,0.1793,0.08805,0.8619676945668135,4.80740487767325,1.0,0.069734505,5.945709574468086,0.8820934052282192,0.45527404343329897,0.8318114957558347,0.676522051410568
Large Fries,Burger,0.1793,0.10215,0.08805,0.4910764082543224,4.807404877673249,1.0,0.069734505,1.7642137534246578,0.9650146995054912,0.45527404343329897,0.43317526118429844,0.676522051410568
Baby Lotion,"Large Fries, Baby Wash",0.10215,0.0218,0.0107,0.10474791972589328,4.804950446141894,1.0,0.008473129999999999,1.0926531437944231,0.881975060880119,0.0944812362030905,0.08479648305652554,0.2977868038996439
"Large Fries, Baby Wash",Baby Lotion,0.0218,0.10215,0.0107,0.4908256880733945,4.804950446141894,1.0,0.008473129999999999,1.7633450450450454,0.8095290415162696,0.0944812362030905,0.4328960161200584,0.2977868038996439
Garlic Bread,Pasta,0.16645,0.0973,0.07775,0.46710723941123466,4.800691052530675,1.0,0.061554415,1.6939618376550172,0.949789041987347,0.41801075268817206,0.40966792889247217,0.6330911325524827
Pasta,Garlic Bread,0.0973,0.16645,0.07775,0.7990750256937308,4.800691052530675,1.0,0.061554415,4.148563427109976,0.8770318554874853,0.41801075268817206,0.7589527031296632,0.6330911325524827
"Garlic Bread, Burger",Large Fries,0.0122,0.1793,0.01045,0.8565573770491802,4.777230212209594,1.0,0.008262539999999999,5.721451428571425,0.8004390405046833,0.05771886219276443,0.8252191751543563,0.45741979281906864
Large Fries,"Garlic Bread, Burger",0.1793,0.0122,0.01045,0.05828220858895705,4.777230212209594,1.0,0.008262539999999999,1.0489342019543975,0.9634137738644161,0.05771886219276443,0.0466513551214386,0.45741979281906864
Burger,"Large Fries, Wireless Mouse",0.10215,0.0226,0.011,0.1076847772883015,4.764813154349624,1.0,0.00869141,1.0953528250137137,0.8800224779397248,0.09670329670329669,0.08705215601422295,0.2972052205025578
"Large Fries, Wireless Mouse",Burger,0.0226,0.10215,0.011,0.48672566371681414,4.764813154349624,1.0,0.00869141,1.7492594827586208,0.8083979760775342,0.09670329670329669,0.4283295246609279,0.2972052205025578
Baby Wash,"Baby Lotion, Garlic Bread",0.16815,0.01275,0.0102,0.06066012488849242,4.757656853999406,1.0,0.008056087500000001,1.0510040360873694,0.9494650477850576,0.05975395430579965,0.04852886795491763,0.43033006244424626
"Baby Lotion, Garlic Bread",Baby Wash,0.01275,0.16815,0.0102,0.8000000000000002,4.757656853999406,1.0,0.008056087500000001,4.159250000000003,0.8000126614332743,0.05975395430579965,0.7595720382280461,0.43033006244424626
Large Fries,"Wireless Mouse, Burger",0.1793,0.0129,0.011,0.06134969325153374,4.755790174537499,1.0,0.00868703,1.051616339869281,0.9622639210430121,0.06070640176600442,0.04908286217357283,0.45703143577305366
"Wireless Mouse, Burger",Large Fries,0.0129,0.1793,0.011,0.8527131782945736,4.755790174537499,1.0,0.00868703,5.572121052631577,0.8000506534292372,0.06070640176600442,0.8205351264707854,0.45703143577305366
"Garlic Bread, Baby Wash",Baby Lotion,0.02125,0.10215,0.0102,0.48,4.698972099853156,1.0,0.0080293125,1.7266346153846155,0.8042784163473818,0.09010600706713781,0.42083867015648485,0.2899265785609398
Baby Lotion,"Garlic Bread, Baby Wash",0.10215,0.02125,0.0102,0.09985315712187959,4.698972099853156,1.0,0.0080293125,1.0873225938009787,0.8767472294926769,0.09010600706713781,0.0803097390772716,0.2899265785609398
"Large Fries, Garlic Bread",Pasta,0.0219,0.0973,0.01,0.4566210045662101,4.692918854740083,1.0,0.00786913,1.6612714285714285,0.8045322564154995,0.09157509157509157,0.3980514064098926,0.27969796374250894
Pasta,"Large Fries, Garlic Bread",0.0973,0.0219,0.01,0.10277492291880781,4.692918854740083,1.0,0.00786913,1.0901389461626576,0.8717325800376647,0.09157509157509157,0.08268574063879748,0.27969796374250894
Large Fries,"SD Card, Burger",0.1793,0.0125,0.0105,0.05856107083100949,4.684885666480759,1.0,0.00825875,1.0489262440758294,0.9583862788444243,0.057915057915057924,0.04664412236051594,0.4492805354155047
"SD Card, Burger",Large Fries,0.0125,0.1793,0.0105,0.84,4.684885666480759,1.0,0.00825875,5.129374999999999,0.7965039180229053,0.057915057915057924,0.8050444742293164,0.4492805354155047
"Large Fries, Garlic Bread",Burger,0.0219,0.10215,0.01045,0.4771689497716895,4.67125746227792,1.0,0.008212915,1.7172851528384283,0.8035220124555517,0.0919894366197183,0.41768552628132705,0.289734744097788
Burger,"Large Fries, Garlic Bread",0.10215,0.0219,0.01045,0.10230053842388642,4.671257462277919,1.0,0.008212915,1.0895628680479825,0.8753409593838336,0.0919894366197183,0.08220073450964771,0.289734744097788
"Large Fries, Wet Wipes",Diapers,0.02415,0.0991,0.0111,0.45962732919254656,4.63801543080269,1.0,0.008706735,1.6671827586206898,0.8038023677210027,0.09897458760588498,0.4001857355894623,0.2858177009232158
Diapers,"Large Fries, Wet Wipes",0.0991,0.02415,0.0111,0.11200807265388497,4.63801543080269,1.0,0.008706735,1.0989401704545456,0.8706743706743707,0.09897458760588498,0.09003235400305884,0.2858177009232158
Baby Wash,Baby Lotion,0.16815,0.10215,0.07895,0.46952126077906636,4.596390218101481,1.0,0.06177347750000001,1.6925277746636775,0.9405998281754696,0.4125947217141365,0.40916774603671696,0.6212021379764152
Baby Lotion,Baby Wash,0.10215,0.16815,0.07895,0.7728830151737641,4.596390218101481,1.0,0.06177347750000001,3.66264989224138,0.8714573337058132,0.4125947217141365,0.7269736312721814,0.6212021379764152
Garlic Bread,"Pasta, Baby Wash",0.16645,0.01315,0.01005,0.06037849203965155,4.591520307197837,1.0,0.007861182500000001,1.0502633152173912,0.9384046715018276,0.059274550280153354,0.04785782240426767,0.41231852358636567
"Pasta, Baby Wash",Garlic Bread,0.01315,0.16645,0.01005,0.7642585551330798,4.591520307197836,1.0,0.007861182500000001,3.535865322580645,0.7926303024070005,0.059274550280153354,0.7171837983721191,0.41231852358636567
"Large Fries, Baby Wash",Burger,0.0218,0.10215,0.0101,0.463302752293578,4.535513972526461,1.0,0.007873129999999999,1.672917094017094,0.7968900243121838,0.08871321914800175,0.40224174672114266,0.28108847844732743
Burger,"Large Fries, Baby Wash",0.10215,0.0218,0.0101,0.09887420460107683,4.53551397252646,1.0,0.007873129999999999,1.0855310157523086,0.8682049582693969,0.08871321914800175,0.07879186730839996,0.28108847844732743
DSLR Camera,SD Card,0.1001,0.15935,0.07145,0.7137862137862139,4.479361241206237,1.0,0.055499065,2.937140139616057,0.863155777125069,0.3800531914893618,0.6595327589201379,0.581085137015479
SD Card,DSLR Camera,0.15935,0.1001,0.07145,0.4483840602447443,4.479361241206237,1.0,0.055499065,1.631388680318544,0.9239920107474567,0.3800531914893618,0.387025291971046,0.581085137015479
Wireless Mouse,Laptop,0.16355,0.1032,0.06915,0.4228064811984103,4.096962027116379,1.0,0.05227164000000001,1.553725,0.9037201300973837,0.3499493927125506,0.3563854607475583,0.5464323103666471
Laptop,Wireless Mouse,0.1032,0.16355,0.06915,0.6700581395348838,4.096962027116379,1.0,0.05227164000000001,2.5351436123348026,0.8429044411462496,0.3499493927125506,0.6055450290332761,0.5464323103666471
Almond Croissant,Coffee,0.1557,0.0989,0.0613,0.3937058445728966,3.980847771212301,1.0,0.04590127,1.4862422669491526,0.8868852620557508,0.31712364200724263,0.3271621846331113,0.5067619212753259
Coffee,Almond Croissant,0.0989,0.1557,0.0613,0.6198179979777553,3.980847771212301,1.0,0.04590127,2.2207784574468086,0.8309812748348356,0.31712364200724263,0.5497074475633723,0.5067619212753259
Lunch Box,Backpack,0.1499,0.0997,0.0582,0.3882588392261508,3.8942712058791455,1.0,0.043254970000000004,1.4717008724100327,0.874264842907101,0.3040752351097179,0.32051409444202017,0.48600504649371734
Backpack,Lunch Box,0.0997,0.1499,0.0582,0.5837512537612839,3.894271205879145,1.0,0.043254970000000004,2.04228843373494,0.8255165422140692,0.3040752351097179,0.510353198166432,0.48600504649371734
Notebooks (Set of 5),Blue Pens,0.1026,0.14835,0.0554,0.5399610136452242,3.6397776450638637,1.0,0.04017929,1.8512561440677968,0.8081768912840063,0.28330350294042445,0.4598262357132909,0.4567011000143883
Blue Pens,Notebooks (Set of 5),0.14835,0.1026,0.0554,0.3734411863835524,3.6397776450638637,1.0,0.04017929,1.4322677783754707,0.8515915484509683,0.28330350294042445,0.3018065370888705,0.4567011000143883
Smart TV,Soundbar,0.09985,0.14485,0.04725,0.4732098147220832,3.266895510680588,1.0,0.0327867275,1.6233218155893536,0.7708704046092258,0.23930108888326157,0.38397920215410536,0.3997046657317699
Soundbar,Smart TV,0.14485,0.09985,0.04725,0.32619951674145664,3.2668955106805875,1.0,0.0327867275,1.3359295850409836,0.8114354144992045,0.23930108888326157,0.25145755345382065,0.3997046657317699
